Uni_ID	Other_Uni_ID	Name	Topology	TM_domain	Subcellular_location	Subcellular_topology	Tag
Q9NYZ2	A2RU93;Q53FT7;Q69YJ8;Q969S1;Q9P0J2	MFRN1_HUMAN		45-64;106-125;143-162;200-219;234-253;301-320	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
Q6N075	G3V1N7;Q6NW04;Q8N7W8;Q8NCK0;Q96IA5	MFSD5_HUMAN		1-21;43-63;79-99;128-148;174-194;195-215;249-269;278-298;311-331;344-364;376-396;409-429	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
O95140	A8K1B3;O95572;Q5JXC3;Q5JXC4;Q9H131;Q9NSX8	MFN2_HUMAN	Cytoplasmic:1-604;Mitochondrial intermembrane:626-626;Cytoplasmic:648-757	605-625;627-647	Mitochondrion outer membrane	Multi-pass membrane protein	Membrane_protein
Q8IWD5	Q6YL34;Q8NA76	MFS6L_HUMAN		50-70;78-98;246-266;287-307;326-346;361-381;400-420;433-455;456-476;499-519;521-541	Membrane	Multi-pass membrane protein	Membrane_protein
Q14728	Q07706	MFS10_HUMAN		27-47;86-106;113-135;148-168;176-196;202-222;275-295;310-327;336-356;359-379;421-441	Nucleus inner membrane	Multi-pass membrane protein	Membrane_protein
Q10469	B3KPC5;B3KQM0	MGAT2_HUMAN	Cytoplasmic:1-9;Lumenal:30-447	10-29	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
Q96A46	Q4VBZ0;Q5T777;Q86VX5;Q969G8;Q9H2J3	MFRN2_HUMAN		72-91;133-152;170-189;227-246;261-280;327-346	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
O43934	O43442;Q9NXI5	MFS11_HUMAN		8-28;53-73;74-94;96-116;138-158;170-190;239-259;277-297;309-329;359-379;385-405;410-430	Membrane	Multi-pass membrane protein	Membrane_protein
Q5TF39	A8K9M0;Q8IYB6;Q96PW9;Q9P0D6	MFS4B_HUMAN		19-39;53-73;82-102;107-127;139-159;221-241;307-327;347-367;376-396;400-420;438-458;466-486	Apical cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q6ZSS7	D3KSZ4;Q86TH2;Q9NXM3	MFSD6_HUMAN		73-93;105-125;132-152;286-306;335-355;369-389;450-470;479-499;507-527;544-564;579-599;605-625	Membrane	Multi-pass membrane protein	Membrane_protein
Q2M2H8	A4D2I3;C9JNC2	MGAL_HUMAN	Cytoplasmic:1-9;Lumenal:31-482	10-30	Membrane	Single-pass membrane protein	Membrane_protein
Q09327	A6NGD0;Q14CK5;Q6IC49;Q9UH32	MGAT3_HUMAN	Cytoplasmic:1-7;Lumenal:24-533	8-23	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
Q9H3U5	B4DGJ8;B4DMR8;B4DU49;B4DWU1;C9JS94;J3KQL7;Q05C07;Q5XKJ1;Q8IVS1;Q8IXG4;Q9H7X1	MFSD1_HUMAN		39-59;83-103;113-133;135-155;170-191;213-233;266-286;303-323;331-351;361-381;392-412;418-438	Lysosome membrane	Multi-pass membrane protein	Membrane_protein
Q9H2D1	A0A024R9D0;Q96JZ6;Q96SU7	MFTC_HUMAN		26-43;89-106;123-143;186-203;227-243;281-300	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
Q8NHS3	B2RDM1;B7Z205;Q8N2P3	MFSD8_HUMAN	Cytoplasmic:1-40;Extracellular:62-74;Cytoplasmic:96-105;Extracellular:127-131;Cytoplasmic:153-173;Extracellular:195-211;Cytoplasmic:233-266;Extracellular:288-304;Cytoplasmic:326-337;Extracellular:359-412;Cytoplasmic:434-451;Extracellular:473-482;Cytoplasmic:504-518	41-61;75-95;106-126;132-152;174-194;212-232;267-287;305-325;338-358;413-433;452-472;483-503	Lysosome membrane	Multi-pass membrane protein	Cell_surface:TM
Q96ES6		MFSD3_HUMAN		10-30;40-60;73-93;94-114;138-158;166-186;209-229;250-270;291-311;321-341;361-381;384-404	Membrane	Multi-pass membrane protein	Membrane_protein
Q6NUT3	A8MXP7;D6W615;E9PAJ8;Q8N459	MFS12_HUMAN		27-47;57-77;98-118;125-145;171-191;219-239;280-302;311-331;348-368;369-389;403-423;447-467	Melanosome membrane;Lysosome membrane	Multi-pass membrane protein	Membrane_protein
O43451	E7ER45;Q0VAX6;Q75ME7;Q86UM5	MGA_HUMAN	Cytoplasmic:1-13;Lumenal:35-2753	14-34	Apical cell membrane	Single-pass type II membrane protein	Cell_surface:Other
Q8NBP5	Q4ZG89;Q53TU0;Q96GQ4;Q9BRI8	MFSD9_HUMAN		45-65;80-100;116-136;167-187;197-217;288-308;323-343;359-379;436-456	Membrane	Multi-pass membrane protein	Membrane_protein
P26572	A8K404;B3KRU8;D3DWR1;Q6IBE3	MGAT1_HUMAN	Cytoplasmic:1-6;Lumenal:30-445	7-29	Golgi apparatus membrane;Cytoplasm;Perinuclear region	Single-pass type II membrane protein	Membrane_protein
Q99685	B3KRC2;B7Z9D1;Q6IBG9;Q96AA5	MGLL_HUMAN			Cytoplasm;Cytosol;Membrane	Peripheral membrane protein	Membrane_protein
O60291	A4URL3;A4URL4;Q86W76	MGRN1_HUMAN			Early endosome;Cytoplasm;Cytosol;Nucleus;Cell membrane		Cell_surface:Other
P10620	A8K533;G5EA53	MGST1_HUMAN	Lumenal:3-9;Cytoplasmic:34-62;Lumenal:97-99;Cytoplasmic:124-128;Lumenal:149-155	10-33;63-96;100-123;129-148	Microsome;Mitochondrion outer membrane;Endoplasmic reticulum membrane	Peripheral membrane protein;Multi-pass membrane protein	Membrane_protein
Q3V5L5	Q6P3S8;Q6P6B3;Q766X5;Q76D04;Q96LS2	MGT5B_HUMAN	Cytoplasmic:1-24;Lumenal:46-792	25-45	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
Q9UQ53	A8MPR0;Q86TF1;Q96GH4;Q9NSK6	MGT4B_HUMAN	Cytoplasmic:1-7;Lumenal:29-548	8-28	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
Q99735	D6RBB5;Q7Z5B8	MGST2_HUMAN		6-26;59-79;111-131	Endoplasmic reticulum membrane;Microsome membrane	Multi-pass membrane protein	Membrane_protein
Q9UBM8	B4DRH2;Q4G199;Q9UIU5	MGT4C_HUMAN	Cytoplasmic:1-23;Lumenal:45-478	24-44	Golgi apparatus membrane	Single-pass type II membrane protein	Membrane_protein
O14880	B2R592;Q6ICN4	MGST3_HUMAN		9-29;71-91;120-140	Endoplasmic reticulum membrane;Microsome membrane;Membrane	Multi-pass membrane protein;Lipid-anchor	Membrane_protein
A6NG13		MGT4D_HUMAN	Cytoplasmic:1-5;Lumenal:27-374	6-26	Golgi apparatus membrane;Endoplasmic reticulum membrane	Single-pass type II membrane protein	Membrane_protein
Q9UM21	B4E2R6;D3DVH6;E9PEN2;Q53S97;Q86Z15	MGT4A_HUMAN	Cytoplasmic:1-4;Lumenal:28-535	5-27	Golgi apparatus membrane;Secreted	Single-pass type II membrane protein	Membrane_protein
Q09328	D3DP70	MGT5A_HUMAN	Cytoplasmic:1-13;Lumenal:31-741	14-30	Golgi apparatus membrane;Secreted	Single-pass type II membrane protein	Membrane_protein
Q8N4Q1	A8K3Z9;Q96AI2;Q96MY6	MIA40_HUMAN			Mitochondrion intermembrane space		Membrane_protein
Q96PC5	A0A193H6U5;A1L4H0;B3KRA6;B4DQS6;D3DSA6;G3XAC5;O00169;O15320;Q6MZN2;Q6P2R8;Q86TF6;Q8IX92;Q8IX93;Q9H6C1	MIA2_HUMAN	Lumenal:20-605;Lumenal:627-646;Cytoplasmic:668-1412	647-667	Endoplasmic reticulum membrane	Single-pass membrane protein	Membrane_protein
Q5XKP0	A0A0B4J2A5;K7EKR0;Q86YE5	MIC13_HUMAN		8-26	Mitochondrion inner membrane	Single-pass membrane protein	Membrane_protein
Q5TGZ0	Q96G68	MIC10_HUMAN	Mitochondrial intermembrane:37-78	17-36	Mitochondrion inner membrane	Single-pass membrane protein	Membrane_protein
Q86YT6	B0YJ38;Q2TB37;Q68D01;Q6YI51;Q8NBY0;Q8TCB5;Q8TCL7;Q9P2M3	MIB1_HUMAN			Cytoplasm;Cytoskeleton;Microtubule organizing center;Centrosome;Centriolar satellite;Cell membrane		Cell_surface:Other
Q6UXV4	Q3KNU7;Q5H9D1	MIC27_HUMAN	Mitochondrial intermembrane:28-110;Mitochondrial matrix:130-137;Mitochondrial intermembrane:156-268	111-129;138-155	Mitochondrion inner membrane;Mitochondrion	Multi-pass membrane protein	Membrane_protein
Q16891	B1H0U5;B2R5N6;Q14539;Q15092;Q68D41;Q69HW5;Q6IBL0;Q7Z3X1;Q8TAJ5;Q9P0V2	MIC60_HUMAN	Mitochondrial matrix:34-45;Mitochondrial intermembrane:65-758	46-64	Mitochondrion inner membrane;Mitochondrion	Single-pass membrane protein	Membrane_protein
Q9NX63		MIC19_HUMAN			Mitochondrion inner membrane;Cytoplasm;Nucleus;Mitochondrion	Lipid-anchor	Membrane_protein
Q8IYU8	Q8N0T6;Q8NAX8	MICU2_HUMAN			Mitochondrion intermembrane space		Membrane_protein
Q9BRT3		MIEN1_HUMAN			Cytoplasm;Cytosol;Cell membrane	Lipid-anchor	Cell_surface:Other
Q86XE3	Q8IYZ3	MICU3_HUMAN		67-83	Mitochondrion;Membrane	Single-pass membrane protein	Membrane_protein
Q9BRQ6	D6R9U0;D6RIB4;H8Y0Y7	MIC25_HUMAN			Mitochondrion inner membrane;Mitochondrion	Lipid-anchor	Membrane_protein
Q8NAN2	Q6MZG0	MIGA1_HUMAN		70-90	Mitochondrion outer membrane	Single-pass membrane protein	Membrane_protein
Q7L4E1	Q8NBM3;Q8TEJ6;Q969E6	MIGA2_HUMAN		11-31;42-62	Mitochondrion outer membrane	Multi-pass membrane protein	Membrane_protein
Q9BUR5	B2R4K9;Q9H3J9	MIC26_HUMAN		108-128	Mitochondrion inner membrane;Secreted;Mitochondrion;Golgi apparatus membrane;Endoplasmic reticulum membrane	Single-pass membrane protein	Membrane_protein
Q96C03	J3KPT3;Q6ZRD4;Q96N07	MID49_HUMAN	Mitochondrial intermembrane:1-22;Cytoplasmic:44-454	23-43	Mitochondrion outer membrane	Single-pass membrane protein	Membrane_protein
Q8TC71	B4E2R0;E5RLK1;Q8IY48;Q8N7D7	MIEAP_HUMAN			Cytoplasm;Mitochondrion outer membrane		Membrane_protein
Q8N3F8	Q5TI16;Q7RTP5;Q8N3N8;Q9BVL9;Q9BY92;Q9UH43;Q9UH44;Q9UH45	MILK1_HUMAN			Recycling endosome membrane;Late endosome membrane	Peripheral membrane protein	Membrane_protein
Q29983	A8KQR0;A9LRW5;A9QVE0;B1VJF1;O60917;O60918;O60919;O60920;O60933;O77956;O78150;O78151;O78152;O78153;O97987;O97988;O97989;O97990;O97991;O97992;O97993;O97994;O97995;O98234;O98235;O98236;O98237;O98238;P79506;P79507;P79508;P79509;P79510;P79511;P79512;P79513;P79514;P79515;P79516;P79517;P79518;P79519;P79520;P79521;Q5C9P8;Q5XM81;Q70I48;Q70I49;Q7JFH9;Q7JFI0;Q7JFI1;Q7JFI2;Q7YQ98;Q861I1;Q95464;Q95HA2;Q95HD6;Q95HN4;Q95HN5;Q95HN6;Q95IB2;Q95IY7;Q99692;Q9BCR3;Q9BCR4;Q9BCR5;Q9BCR6;Q9BCR7;Q9BCR8;Q9BCR9;Q9BCS0;Q9BCS1;Q9BCS2;Q9BCS3;Q9BCS4;Q9BD20;Q9GIZ1;Q9GIZ2;Q9GIZ3;Q9GIZ4;Q9GIZ5;Q9GIZ6;Q9GJ01;Q9GJ02;Q9GJ03;Q9GJ04;Q9GJ05;Q9GJ06;Q9GJ07;Q9GJ08;Q9GJ09;Q9MY21;Q9TQ86;Q9TQ87;Q9TQ88;Q9TQ89;Q9TQ92;Q9TQ93;Q9TQ94;Q9TQ95;Q9TQ96;Q9TQ97;Q9TQ98;Q9TQ99;Q9TQA0;Q9TQA1;Q9TQA2;Q9TQA3;Q9TQA4;Q9TQI9;Q9TQJ0;Q9TQJ1;Q9TQJ9;Q9TQK0;Q9TQK1;Q9TQK2;Q9TQK8;Q9TQK9;Q9TQL0;Q9TQL1;Q9TQL2;Q9TQL3;Q9TQL4;Q9UE04;Q9UE05;Q9UE06;Q9UE11	MICA_HUMAN	Extracellular:24-307;Cytoplasmic:329-383	308-328	Cell membrane;Cytoplasm	Single-pass type I membrane protein	Cell_surface:TM
Q9NQG6	Q7L890;Q9BUI3	MID51_HUMAN	Mitochondrial intermembrane:1-23;Cytoplasmic:47-463	24-46	Mitochondrion outer membrane	Single-pass membrane protein	Membrane_protein
Q8IY33	D3YTD2;Q7RTP4;Q7Z655;Q8TEQ4;Q9H5F9	MILK2_HUMAN			Cell membrane;Cell junction;Tight junction;Recycling endosome;Cell projection;Cytoplasm;Cytoskeleton;Cytosol	Peripheral membrane protein	Cell_surface:Other
Q29980	A2AC57;A6NP85;B0UZ10;B2RAK2;O14499;O14500;O19798;O19799;O19800;O19801;O19802;O19803;O78099;O78100;O78101;O78102;O78103;O78104;P79525;P79541;Q5GR31;Q5GR37;Q5GR41;Q5GR42;Q5GR43;Q5GR44;Q5GR46;Q5GR48;Q5RIY6;Q5SSK1;Q5ST25;Q7JK51;Q7YQ89;Q861E6;Q9MY18;Q9MY19;Q9MY20;Q9UBH4;Q9UBZ8;Q9UEJ0;X6R344	MICB_HUMAN	Extracellular:23-309;Cytoplasmic:331-383	310-330	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q7Z6M3	A1L458;B4DUS1;B7ZM50;B9EGN0;D6RUW6;D6RUW8	MILR1_HUMAN	Extracellular:20-227;Cytoplasmic:249-343	228-248	Cell membrane	Single-pass type I membrane protein	Cell_surface:TM
Q9BPX6	A8MV96;B3KN20;B4DJH9;B4DPI1;B5MBY3;D3YTJ3;O75785;Q9H9N6;Q9UFX0	MICU1_HUMAN	Mitochondrial intermembrane:53-476	34-52	Mitochondrion inner membrane;Mitochondrion intermembrane space	Single-pass membrane protein	Membrane_protein
Q8IXI2	A4FVB6;A6NFV0;B4DG48;J9JIH9;Q6NUR3;Q6P9F8;Q6PJG1;Q6YMW8;Q86UB0;Q8IW28;Q8IXJ7;Q9H067;Q9H9N8;Q9NUZ2	MIRO1_HUMAN	Cytoplasmic:1-592;Mitochondrial intermembrane:616-618	593-615	Mitochondrion outer membrane	Single-pass type IV membrane protein	Membrane_protein
Q96ER9	Q9HA01	MITOK_HUMAN	Mitochondrial matrix:36-201;Mitochondrial intermembrane:223-386;Mitochondrial matrix:408-411	202-222;387-407	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
Q9NUT2	A5D8W3;B2RBL8;B3KND2;B4DG02;G3XAP3;O95787;Q53GM0	MITOS_HUMAN	Mitochondrial matrix:26-144;Mitochondrial intermembrane:166-195;Mitochondrial matrix:217-295;Mitochondrial intermembrane:317-735	145-165;196-216;296-316	Mitochondrion inner membrane	Multi-pass membrane protein	Membrane_protein
P30301	Q17R41	MIP_HUMAN	Cytoplasmic:1-8;Extracellular:33-38;Cytoplasmic:79-84;Extracellular:108-126;Cytoplasmic:148-159;Extracellular:195-200;Cytoplasmic:220-263	9-32;39-61;85-107;127-147;160-176;201-219	Cell membrane;Cell junction;Gap junction	Multi-pass membrane protein	Cell_surface:TM
Q75NE6	A4QMU7;Q75NE7	MIRH1_HUMAN	Cytoplasmic:1-20;Extracellular:44-70	21-43	Membrane	Single-pass membrane protein	Cell_surface:TM
Q9NXC5	B2RTV6;O75216;Q7L551;Q9H092	MIO_HUMAN			Lysosome membrane		Membrane_protein
Q8IXI1	A2IDC2;Q8NF53;Q96C13;Q96S17;Q9BT60;Q9H7M8	MIRO2_HUMAN	Cytoplasmic:1-592;Mitochondrial intermembrane:616-618	593-615	Mitochondrion outer membrane	Single-pass type IV membrane protein	Membrane_protein
Q8WV92	Q69YV0	MITD1_HUMAN			Late endosome membrane;Midbody;Membrane	Peripheral membrane protein	Membrane_protein
P53779	A6NFS3;A6NG28;B3KQ94;Q15707;Q49AP1	MK10_HUMAN			Cytoplasm;Membrane;Nucleus;Mitochondrion	Lipid-anchor	Membrane_protein
P28482	A8CZ64	MK01_HUMAN			Cytoplasm;Cytoskeleton;Spindle;Nucleus;Microtubule organizing center;Centrosome;Membrane;Caveola;Cell junction;Focal adhesion		Membrane_protein
P27361	A8CZ58;B0LPG3;Q8NHX1	MK03_HUMAN			Cytoplasm;Nucleus;Membrane;Caveola;Cell junction;Focal adhesion		Membrane_protein
Q15049	B3KW61;B7Z659;Q5JZ83;Q8TAG4;Q96RP5;Q9UGY8	MLC1_HUMAN		52-72;82-100;111-131;144-164;199-219;230-250;257-277;304-324	Membrane;Cell membrane;Cytoplasm;Perinuclear region;Endoplasmic reticulum	Multi-pass membrane protein	Cell_surface:Other
Q5HYA8	B3KRU5;B3KT47;G5E9H2;Q3ZCX3;Q7Z5T8;Q8IZ06	MKS3_HUMAN		526-546;570-590;609-629;689-709;734-754;939-959	Cell membrane;Endoplasmic reticulum membrane;Cell projection;Cilium;Cytoplasm;Cytoskeleton;Cilium basal body	Multi-pass membrane protein	Cell_surface:Other
Q14165		MLEC_HUMAN	Lumenal:29-269;Cytoplasmic:291-292	270-290	Endoplasmic reticulum membrane	Single-pass type I membrane protein	Membrane_protein
Q5VWP3	B7Z2N0;D6RE05;Q96H08;Q96NF7	MLIP_HUMAN			Nucleus;Nucleus envelope;PML body;Cell membrane;Sarcolemma	Peripheral membrane protein	Cell_surface:Other
Q9H492	E1P5P4;E1P5P5;Q9BXW5	MLP3A_HUMAN			Cytoplasmic vesicle;Autophagosome membrane;Endomembrane system;Cytoplasm;Cytoskeleton	Lipid-anchor	Membrane_protein
Q8NB16	A6NCE4;Q8N6V0	MLKL_HUMAN			Cytoplasm;Cell membrane;Nucleus		Cell_surface:Other
P0DMT0		MLN_HUMAN	Cytoplasmic:1-21;Lumenal:43-46	22-42	Sarcoplasmic reticulum membrane	Single-pass membrane protein	Membrane_protein
Q9GZQ8	Q6NW02	MLP3B_HUMAN			Cytoplasmic vesicle;Autophagosome membrane;Endomembrane system;Mitochondrion membrane;Cytoplasm;Cytoskeleton	Lipid-anchor	Membrane_protein
Q9BXW4	A0PJY8;A2RUP0	MLP3C_HUMAN			Cytoplasmic vesicle;Autophagosome membrane;Endomembrane system;Cytoplasm;Cytoskeleton	Lipid-anchor	Membrane_protein
Q495T6	B9DI79;Q495T7;Q495T8;Q5SZS6;Q96PH9	MMEL1_HUMAN	Cytoplasmic:1-27;Lumenal:49-779	28-48	Membrane;Secreted	Single-pass type II membrane protein	Membrane_protein
Q9HAP2	A7MBN0;O94945;Q7LC47;Q8IXP1;Q8TAH9;Q8WVQ0;Q8WYA5	MLXIP_HUMAN			Cytoplasm;Nucleus;Mitochondrion outer membrane		Membrane_protein
P50281	A8K5L0;Q6GSF3;Q92678	MMP14_HUMAN	Extracellular:112-541;Cytoplasmic:563-582	542-562	Membrane;Melanosome;Cytoplasm	Single-pass type I membrane protein	Cell_surface:TM
O75900	A2AGN0;A2AGN1;O75894;O75895;Q5QPQ8;Q76P96;Q7LDM6;Q7LDM7;Q9UBR9;Q9UJK8	MMP23_HUMAN	Cytoplasmic:1-19;Lumenal:41-390	20-40	Endoplasmic reticulum membrane;Membrane	Single-pass type II membrane protein	Membrane_protein
Q9Y5R2	B7ZBG8;Q9H440	MMP24_HUMAN	Extracellular:53-602;Cytoplasmic:624-645	603-623	Cell membrane;Golgi apparatus;Trans-Golgi network membrane;Secreted;Extracellular space;Extracellular matrix	Single-pass type I membrane protein	Cell_surface:TM
P51511	A0A2U6;Q14111	MMP15_HUMAN	Extracellular:132-625;Cytoplasmic:647-669	626-646	Membrane	Single-pass type I membrane protein	Cell_surface:TM
P51512	B2RAN7;Q14824;Q52H48	MMP16_HUMAN	Extracellular:120-564;Cytoplasmic:586-607	565-585	Cell membrane;Secreted;Extracellular space;Extracellular matrix;Cell surface	Single-pass type I membrane protein	Cell_surface:TM
Q9NPA2	D3DUA8;Q9H3Q0	MMP25_HUMAN			Cell membrane;Secreted;Extracellular space;Extracellular matrix	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q9H306	Q6UWK6	MMP27_HUMAN			Endoplasmic reticulum membrane	Peripheral membrane protein	Membrane_protein
Q9ULZ9	Q14850	MMP17_HUMAN			Cell membrane;Secreted;Extracellular space;Extracellular matrix	Lipid-anchor;GPI-anchor	Cell_surface:Other
P59773	H3BM78	MNARL_HUMAN		169-189	Membrane	Single-pass membrane protein	Membrane_protein
P08253	B2R6U1;B4DWH3;E9PE45;Q9UCJ8	MMP2_HUMAN			Secreted;Extracellular space;Extracellular matrix;Membrane;Nucleus;Cytoplasm;Mitochondrion		Membrane_protein
Q9UPX6	A7MD43	MNAR1_HUMAN	Cytoplasmic:1-891;Extracellular:913-916	892-912	Cell membrane	Single-pass type IV membrane protein	Cell_surface:TM
Q8TD46	B3KWZ9;E9PCM9;Q52LJ7;Q6IS95;Q6UW94;Q6WHB8;Q8TD44;Q8TD45;Q8TD52	MO2R1_HUMAN	Extracellular:29-243;Cytoplasmic:265-325	244-264	Cell membrane;Secreted	Single-pass type I membrane protein	Cell_surface:TM
Q6Q8B3	Q6WHB7	MO2R2_HUMAN	Extracellular:24-239;Cytoplasmic:261-271	240-260	Membrane	Single-pass type I membrane protein	Cell_surface:TM
Q96BY2	B2RDF6;Q9H833;Q9HAS1	MOAP1_HUMAN			Cytoplasm;Cytosol;Mitochondrion outer membrane;Extracellular vesicle membrane		Membrane_protein
P26038		MOES_HUMAN			Cell membrane;Cytoplasm;Cytoskeleton;Apical cell membrane;Cell projection;Microvillus membrane;Microvillus	Peripheral membrane protein	Cell_surface:Other
Q86VF5	Q496A6;Q496A7;Q496A8;Q9UDW7	MOGT3_HUMAN		29-49;50-70;137-157	Endoplasmic reticulum membrane;Cytoplasm;Perinuclear region	Multi-pass membrane protein	Membrane_protein
Q13724	A8K938;F5H6D0;Q17RN9;Q8TCT5	MOGS_HUMAN	Cytoplasmic:1-38;Lumenal:60-837	39-59	Endoplasmic reticulum membrane	Single-pass type II membrane protein	Membrane_protein
Q7Z3U7	A5D8U7;A7E2Y0;B9EGP5;F8VWA6;F8W1Z6;Q86TA2;Q8N3I5;Q8NAI0;Q8NHE2;Q9UPW1	MON2_HUMAN			Early endosome membrane		Membrane_protein
Q16653	A6NDR4;A6NNJ9;A8MY31;B0UZR9;E9PGF0;F8W9D5;O00713;O00714;O00715;Q13054;Q13055;Q14855;Q29ZN8;Q56UY0;Q5JNX7;Q5JNY1;Q5JNY2;Q5JNY4;Q5SSB5;Q5SSB6;Q5STL9;Q5STM0;Q5STM1;Q5STM2;Q5STM5;Q5SUK5;Q5SUK7;Q5SUK8;Q5SUK9;Q5SUL0;Q5SUL1;Q8IYG5;Q92891;Q92892;Q92893;Q92894;Q92895;Q93053;Q96KU9;Q96KV0;Q96KV1;Q99605	MOG_HUMAN	Extracellular:30-154;Cytoplasmic:176-210;Extracellular:232-247	155-175;211-231	Cell membrane	Multi-pass membrane protein;Single-pass type I membrane protein	Cell_surface:TM
Q96PD6	Q6IEE5	MOGT1_HUMAN		18-38;40-60;132-152	Endoplasmic reticulum membrane	Multi-pass membrane protein	Membrane_protein
Q3SYC2	A8K7I3;Q3SYC1;Q6ZQZ2;Q86UH6;Q9H630	MOGT2_HUMAN		23-37;38-59;103-123	Endoplasmic reticulum membrane;Cytoplasm;Perinuclear region	Multi-pass membrane protein	Membrane_protein
Q8NHV5	H3BNM6	MOSMO_HUMAN		7-29;68-88;101-121;139-159	Cell projection;Cilium membrane;Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q7RTY0	A3KMG3;A5PKU5;Q2VP92	MOT13_HUMAN	Cytoplasmic:1-10;Cytoplasmic:395-426	11-31;52-72;81-101;106-126;139-159;169-189;221-241;252-272;283-303;306-326;338-358;374-394	Golgi apparatus membrane;Cell membrane	Multi-pass membrane protein	Cell_surface:Other
O60669	Q8NEM3;Q9UPB3	MOT2_HUMAN	Cytoplasmic:1-15;Extracellular:37-59;Cytoplasmic:81-89;Extracellular:111-115;Cytoplasmic:137-148;Extracellular:170-173;Cytoplasmic:195-246;Extracellular:268-282;Cytoplasmic:304-312;Extracellular:334-338;Cytoplasmic:360-373;Extracellular:395-406;Cytoplasmic:428-478	16-36;60-80;90-110;116-136;149-169;174-194;247-267;283-303;313-333;339-359;374-394;407-427	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q9HD47	D3DTR6;Q68DI3;Q9BR68;Q9HD48;Q9NRU9;Q9P001;Q9P0P2	MOG1_HUMAN			Nucleus;Cytoplasm;Perinuclear region;Cell membrane	Peripheral membrane protein	Cell_surface:Other
Q9NRJ1		MOST1_HUMAN			Cytoplasm;Microsome membrane;Endoplasmic reticulum membrane		Membrane_protein
Q7RTX9	A8KA08;Q53R92;Q96NI7	MOT14_HUMAN	Cytoplasmic:1-27;Cytoplasmic:495-510	28-48;74-94;103-123;127-147;159-179;191-209;315-335;353-373;379-399;408-428;443-463;474-494	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q8TF71	B3KWY0;Q6ZMG0;Q8WVI5	MOT10_HUMAN	Cytoplasmic:1-66;Cytoplasmic:473-515	67-87;115-135;145-165;172-192;201-221;229-249;292-312;330-350;352-372;397-417;420-440;452-472	Cell membrane;Basolateral cell membrane	Multi-pass membrane protein	Cell_surface:Other
P36021	Q7Z797	MOT8_HUMAN	Cytoplasmic:2-96;Extracellular:118-143;Cytoplasmic:165-171;Extracellular:193-200;Cytoplasmic:222-229;Extracellular:251-258;Cytoplasmic:280-322;Extracellular:344-356;Cytoplasmic:378-386;Extracellular:408-409;Cytoplasmic:431-447;Extracellular:469-477;Cytoplasmic:499-539	97-117;144-164;172-192;201-221;230-250;259-279;323-343;357-377;387-407;410-430;448-468;478-498	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
O95907	Q9UBE2	MOT3_HUMAN	Cytoplasmic:1-14;Extracellular:36-58;Cytoplasmic:80-85;Extracellular:107-115;Cytoplasmic:137-143;Extracellular:165-172;Cytoplasmic:194-254;Extracellular:276-289;Cytoplasmic:311-318;Extracellular:336-342;Cytoplasmic:364-376;Extracellular:398-410;Cytoplasmic:432-504	15-35;59-79;86-106;116-136;144-164;173-193;255-275;290-310;319-335;343-363;377-397;411-431	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q8NCK7		MOT11_HUMAN	Cytoplasmic:1-35;Cytoplasmic:428-471	36-56;78-98;106-126;131-151;163-183;198-218;243-263;273-293;312-332;333-353;367-389;407-427	Endoplasmic reticulum membrane;Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q7RTY1	Q6ZMI2;Q9UFH8	MOT9_HUMAN	Cytoplasmic:1-12;Cytoplasmic:483-509	13-33;53-73;80-100;102-122;137-157;164-184;305-325;342-362;372-392;398-418;433-453;462-482	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
Q6ZSM3	E9PSF9;Q5M9M9;Q5T7J2;Q6ZV76	MOT12_HUMAN	Cytoplasmic:1-50;Cytoplasmic:461-516	51-73;88-108;116-136;145-165;178-198;207-227;283-303;319-339;350-370;377-397;410-430;440-460	Cell membrane	Multi-pass membrane protein	Cell_surface:Other
